Symbol,A017670,A000660,A010950,A010130,A000270,A004370,A003490,A011170,A005930,A003550,A007310,A005490,A015760,A018880,A012330,A000720,A005380,A004020,A009540,A008770
Symbol Name,SK텔레콤,SK하이닉스,S-Oil,고려아연,기아차,농심,대한항공,롯데케미칼,삼성전자,LG,오뚜기,POSCO,한국전력,한온시스템,현대모비스,현대건설,현대차,현대제철,현대중공업,호텔신라
Kind,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC,SSC
Item,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700,S410000700
Item Name,수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원),수정주가(원)
Frequency,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY,DAILY
2005.5.31,0.128440367,0.314049587,0.076589595,-0.017741935,0.170040486,-0.001639344,-0.016372209,-0.107744108,0.081858407,0.134782609,0.198786039,0.002785515,0.031141869,0.029761905,0.026194145,0.070454545,0.051948052,-0.041666667,0.055214191,0.028315946
2005.6.30,-0.013550136,0.06918239,0.10738255,-0.116584565,-0.048442907,-0.014778325,-0.027706084,0.088050314,0.010224949,0.007662835,0.17721519,0.013888889,0.063758389,0.038150289,0.043543544,0.18895966,0.014109347,-0.053511706,-0.028024691,0.082608696
2005.7.31,0.076923077,0.405882353,-0.052121212,0.072490706,0.141818182,-0.01,0.12254185,0.052023121,0.143724696,0.066539924,-0.096774194,0.123287671,0.126182965,0.040089087,0.079136691,0.092857143,0.236521739,0.236749117,0.10961514,0.144578313
2005.8.31,-0.035714286,-0.10460251,-0.020460358,0.149046794,-0.025477707,-0.080808081,-0.106606824,0.186813187,-0.037168142,-0.144385027,-0.005952381,0.043902439,-0.089635854,-0.027837259,-0.012,0.019607843,-0.005625879,0.188571429,0.192364927,-0.01871345
2005.9.30,0.071428571,0.074766355,0.11618799,0.057315234,0.274509804,-0.009157509,0.07951599,-0.037037037,0.080882353,0.097916667,0.177245509,0.093457944,0.095384615,0.123348018,0.156545209,0.057692308,0.152758133,0.298076923,0.127906046,0.10727056
2005.10.31,-0.074074074,-0.17173913,-0.086549708,0.015691869,-0.038461538,-0.059149723,0.026321057,-0.030769231,-0.06122449,-0.028462998,0.017293998,-0.096153846,-0.046348315,-0.014705882,-0.031505251,-0.016666667,-0.060122699,-0.140740741,-0.12500532,-0.082884822
2005.11.30,0.037333333,0.149606299,-0.029449424,0.084269663,0.317333333,0.066797642,0.407703559,-0.005952381,0.083333333,0.1015625,0.115,-0.01891253,0.023564065,0.248756219,0.045783133,0.261941448,0.117493473,-0.047413793,0.075112271,0.39084507
2005.12.31,-0.06940874,0.611872146,-0.068601583,0.321243523,0.074898785,0.031307551,0.162129399,-0.001996008,0.102006689,0.120567376,-0.035874439,-0.026506024,0.087769784,-0.019920319,0.064516129,0.102564103,0.136682243,-0.052036199,0.053427632,0.092827004
2006.1.31,0.060773481,0.056657224,-0.028328612,0.141176471,-0.152542373,0.057142857,-0.062706762,0.128,0.122913505,0.102848101,0.013953488,0.091584158,0.097883598,-0.178861789,-0.096320346,0.040974529,-0.103802672,0.312649165,-0.089726155,-0.069498069
2006.2.28,0.0546875,-0.108579088,0.017492711,0.171821306,-0.062222222,-0.032094595,0.086966199,0.015957447,-0.071621622,-0.021520803,0.142201835,0.0430839,0.010843373,-0.084158416,-0.019161677,0.005319149,-0.047018349,0.047272727,0.104279042,0.049792531
2006.3.31,-0.049382716,-0.130827068,0.068767908,0.117302053,-0.05450237,-0.05061082,-0.046161947,0.029668412,-0.082969432,-0.01026393,-0.024096386,0.089130435,-0.027413588,0.002162162,0.05006105,0.048677249,-0.016847172,0.005208333,0.097037881,0.067193676
2006.4.30,0.150649351,0.140138408,-0.021447721,0.114173228,-0.027568922,-0.03125,0.108078268,0.016949153,0.022222222,-0.026666667,0.098765432,0.0499002,0.026960784,0.020496224,-0.031395349,0.184661958,0.014687882,0.259067358,0.066035776,0.148148148
2006.5.31,0.018058691,-0.028831563,-0.067123288,-0.002355713,-0.162371134,0.062618596,0.001439247,-0.181666667,-0.049689441,-0.063926941,-0.134831461,-0.05513308,-0.064439141,-0.016913319,-0.102040816,-0.206132879,-0.113389626,-0.058984911,0.070797969,0
2006.6.30,-0.095343681,-0.0390625,-0.014684288,-0.121605667,0,-0.107142857,0.017439611,-0.057026477,-0.014705882,-0.094308943,-0.012987013,0.024144869,-0.103316327,0.06344086,0.073529412,-0.066523605,0.096598639,-0.004373178,0.100199011,0.025806452
2006.7.31,-0.026960784,0.056910569,0.002980626,0.13844086,-0.123076923,-0.088,-0.092847635,0.039956803,0.008291874,-0.016157989,0.004385965,-0.084479371,0.018492176,-0.095045501,-0.01120797,0.089655172,-0.093052109,-0.042459736,0.061036115,0.003144654
2006.8.31,-0.057934509,0.132307692,-0.023774146,-0.020070838,0.073684211,0.015350877,-0.045665519,0.036344756,0.069078947,0.045620438,-0.178165939,0.036480687,0.027932961,0.201117318,0.109571788,0.071729958,0.108071135,0.047400612,0.079648518,-0.10031348
2006.9.30,0.077540107,0.013586957,-0.03652968,0.030120482,0.003267974,0.166306695,0.145214936,0.182364729,0.021538462,-0.040139616,0.048884166,0.014492754,0.001358696,0.027906977,0.104426788,0.001968504,0,-0.037956204,0.073763614,0.027874564
